City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,pedregal,8.3667,-82.4333,29.730000000000018,72,40,5.14,PA,2024-07-26 19:30:12
201,klyuchi,52.2667,79.1667,24.350000000000023,59,100,3.93,RU,2024-07-26 19:27:31
202,tsiombe,-25.3,45.4833,17.410000000000025,71,0,1.82,MG,2024-07-26 19:30:12
203,kaura namoda,12.5898,6.5779,27.870000000000005,68,100,3.28,NG,2024-07-26 19:30:12
204,juneau,58.3019,-134.4197,13.0,82,100,1.54,US,2024-07-26 19:27:39
205,sinop,41.7711,34.8709,17.180000000000007,98,100,1.09,TR,2024-07-26 19:30:13
206,ceres,37.5949,-120.9577,36.160000000000025,17,0,2.06,US,2024-07-26 19:30:13
207,chipinge,-20.1883,32.6236,12.920000000000016,73,0,2.19,ZW,2024-07-26 19:30:13
208,susanville,40.4163,-120.653,29.890000000000043,8,0,6.58,US,2024-07-26 19:30:13
209,port mathurin,-19.6833,63.4167,22.760000000000048,74,0,8.26,MU,2024-07-26 19:30:13
210,tanjung selor,2.8372,117.3642,23.939999999999998,99,100,1.04,ID,2024-07-26 19:30:13
211,luganville,-15.5333,167.1667,23.100000000000023,71,100,5.12,VU,2024-07-26 19:30:13
212,irymple,-34.25,142.1667,7.960000000000036,55,6,4.7,AU,2024-07-26 19:30:13
213,akureyri,65.6835,-18.0878,9.960000000000036,87,75,4.63,IS,2024-07-26 19:30:13
214,paita,-5.0892,-81.1144,19.879999999999995,73,2,8.43,PE,2024-07-26 19:30:14
215,bolobo,-2.1667,16.2333,26.170000000000016,47,55,1.86,CD,2024-07-26 19:30:14
216,pagadian,7.8257,123.437,24.220000000000027,88,100,0.59,PH,2024-07-26 19:30:14
217,sitka,57.0531,-135.33,15.680000000000007,73,91,2.27,US,2024-07-26 19:30:14
218,al muwayh,22.4333,41.7583,28.57000000000005,26,100,6.5,SA,2024-07-26 19:30:14
219,north battleford,52.7834,-108.2847,21.05000000000001,43,75,11.83,CA,2024-07-26 19:30:14
220,olenegorsk,68.15,33.3,16.99000000000001,58,9,2.85,RU,2024-07-26 19:30:15
221,coswig,51.1333,13.5833,21.400000000000034,76,0,1.03,DE,2024-07-26 19:30:15
222,boda,4.3189,17.4695,21.590000000000032,97,100,2.18,CF,2024-07-26 19:30:15
223,dixiana,33.9193,-81.0593,28.27000000000004,78,75,2.06,US,2024-07-26 19:30:15
224,dunedin,-45.8742,170.5036,11.560000000000002,67,100,0.45,NZ,2024-07-26 19:26:54
225,antalaha,-14.9003,50.2788,20.05000000000001,91,18,2.56,MG,2024-07-26 19:30:15
226,tucuma,-0.1833,-50.05,29.870000000000005,65,28,4.84,BR,2024-07-26 19:30:15
227,tual,-5.6667,132.75,25.340000000000032,89,100,5.87,ID,2024-07-26 19:30:15
228,anadyr,64.75,177.4833,7.78000000000003,75,75,5.0,RU,2024-07-26 19:30:15
229,lihue,21.9789,-159.3672,23.77000000000004,83,100,7.2,US,2024-07-26 19:30:16
230,island harbour,50.724,-1.2758,17.350000000000023,71,2,1.79,GB,2024-07-26 19:30:16
231,santa cruz,-17.8,-63.1667,32.03000000000003,48,20,8.75,BO,2024-07-26 19:23:42
232,tolanaro,-25.0319,46.9987,20.04000000000002,83,20,1.03,MG,2024-07-26 19:30:16
233,jucas,-6.5253,-39.5275,32.650000000000034,23,17,2.95,BR,2024-07-26 19:30:16
234,port augusta,-32.5,137.7667,10.29000000000002,73,100,0.56,AU,2024-07-26 19:30:16
235,conception bay south,47.4999,-52.9981,17.610000000000014,94,97,1.86,CA,2024-07-26 19:30:16
236,hilo,19.7297,-155.09,24.960000000000036,81,100,3.6,US,2024-07-26 19:30:16
237,maragogi,-9.0122,-35.2225,23.910000000000025,75,58,4.11,BR,2024-07-26 19:30:17
238,vilyuysk,63.7553,121.6247,11.770000000000039,81,12,2.1,RU,2024-07-26 19:30:17
239,montepuez,-13.1256,38.9997,17.720000000000027,69,0,2.96,MZ,2024-07-26 19:30:17
240,bel ombre,-4.6167,55.4167,25.910000000000025,89,40,5.66,SC,2024-07-26 19:27:05
241,mae hong son,19.3003,97.9685,24.03000000000003,100,100,0.93,TH,2024-07-26 19:30:17
